Board Number,Year,Board Type,Grade 10 OSSLT Results,Progress in Grade 10 OSSLT Results ,Credit Accumulation by the end of Grade 10,Progress in Credit Accumulation by the end of Grade 10,Credit Accumulation by the end of Grade 11,Progress in Credit Accumulation by the end of Grade 11,Four Year Graduation Rate,Progress in Four Year Graduation Rate
B28010,2022-2023,Public,0.72,0.0,0.69,-0.02,0.71,-0.08,0.709,-0.037
B67202,2022-2023,Roman Catholic,0.86,0.0,0.84,0.0,0.87,-0.03,0.882,-0.014
B66010,2022-2023,Public,0.81,0.0,0.81,0.03,0.78,-0.01,0.806,0.013
B66001,2022-2023,Public,0.75,0.0,0.67,-0.01,0.71,-0.01,0.701,-0.017
B67164,2022-2023,Roman Catholic,0.85,0.0,0.73,-0.08,0.81,-0.01,0.856,0.05
B67008,2022-2023,Roman Catholic,0.82,0.0,0.82,0.01,0.85,0.05,0.857,0.016
B67172,2022-2023,Roman Catholic,0.84,0.0,0.8,-0.09,0.84,-0.06,0.886,-0.005
B66311,2022-2023,Public,0.93,0.0,0.78,-0.01,0.84,-0.06,0.897,-0.007
B67300,2022-2023,Roman Catholic,0.85,0.0,0.91,-0.04,0.92,-0.05,0.937,-0.029
B67318,2022-2023,Roman Catholic,0.95,0.0,0.87,0.02,0.91,-0.02,0.943,0.002
B28118,2022-2023,Public,0.83,0.0,0.86,0.01,0.86,-0.03,0.842,-0.053
B28100,2022-2023,Public,0.72,0.0,0.73,-0.04,0.82,0.06,0.867,0.01
B66303,2022-2023,Public,0.96,0.0,0.91,-0.01,0.94,-0.01,0.922,0.028
B67326,2022-2023,Roman Catholic,0.94,0.0,0.87,-0.02,0.93,0.01,0.919,-0.013
B29130,2022-2023,Roman Catholic,0.93,0.0,0.78,-0.05,0.9,0.0,0.857,-0.071
B29106,2022-2023,Roman Catholic,0.81,0.0,0.87,-0.02,0.86,-0.05,0.892,-0.017
B67334,2022-2023,Roman Catholic,0.94,0.0,0.86,-0.03,0.91,-0.03,0.938,0.004
B29122,2022-2023,Roman Catholic,0.86,0.0,0.93,0.0,0.95,-0.04,0.945,0.012
B29114,2022-2023,Roman Catholic,0.85,0.0,0.9,0.01,0.92,-0.01,0.907,-0.018
B66150,2022-2023,Public,0.86,0.0,0.76,-0.01,0.78,-0.03,0.803,-0.02
B28002,2022-2023,Public,0.72,0.0,0.54,-0.08,0.65,0.06,0.619,0.023
B67083,2022-2023,Roman Catholic,0.86,0.0,0.86,-0.01,0.89,-0.01,0.905,-0.006
B67105,2022-2023,Roman Catholic,0.87,0.0,0.83,0.01,0.83,0.04,0.908,-0.015
B66060,2022-2023,Public,0.85,0.0,0.79,0.02,0.84,0.03,0.866,0.015
B66168,2022-2023,Public,0.76,0.0,0.68,0.01,0.68,0.03,0.708,0.022
B66028,2022-2023,Public,0.79,0.0,0.74,-0.06,0.79,-0.02,0.809,-0.018
B67113,2022-2023,Roman Catholic,0.9,0.0,0.81,-0.07,0.87,-0.06,0.919,0.013
B66133,2022-2023,Public,0.92,0.0,0.89,0.0,0.9,0.01,0.891,0.008
B67121,2022-2023,Roman Catholic,0.77,0.0,0.76,0.02,0.81,0.0,0.843,0.015
B66141,2022-2023,Public,0.77,0.0,0.69,0.06,0.71,0.01,0.754,0.005
B66222,2022-2023,Public,0.75,0.0,0.64,-0.03,0.75,0.02,0.783,0.06
B67016,2022-2023,Roman Catholic,0.87,0.0,0.88,0.0,0.9,0.01,0.888,-0.015
B29025,2022-2023,Roman Catholic,0.8,0.0,0.73,-0.12,0.76,-0.09,0.871,0.072
B66079,2022-2023,Public,0.82,0.0,0.77,0.01,0.82,0.0,0.821,-0.003
B28045,2022-2023,Public,0.71,0.0,0.6,-0.07,0.7,-0.02,0.633,-0.049
B29050,2022-2023,Roman Catholic,0.8,0.0,0.72,-0.09,0.72,-0.04,0.71,-0.04
B28061,2022-2023,Public,0.82,0.0,0.66,-0.09,0.72,-0.02,0.674,-0.034
B66036,2022-2023,Public,0.78,0.0,0.7,0.01,0.68,-0.06,0.727,0.005
B66206,2022-2023,Public,0.79,0.0,0.75,-0.05,0.74,-0.07,0.827,0.013
B67032,2022-2023,Roman Catholic,0.84,0.0,0.83,0.1,0.87,-0.02,0.87,-0.006
B28037,2022-2023,Public,0.79,0.0,0.65,-0.15,0.7,-0.05,0.783,0.015
B67156,2022-2023,Roman Catholic,0.86,0.0,0.86,-0.02,0.9,-0.01,0.903,0.011
B29017,2022-2023,Roman Catholic,0.85,0.0,0.77,0.05,0.76,0.0,0.71,-0.041
B29009,2022-2023,Roman Catholic,0.91,0.0,0.85,-0.03,0.77,0.01,0.789,0.039
B29041,2022-2023,Roman Catholic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B67180,2022-2023,Roman Catholic,0.88,0.0,0.83,-0.01,0.89,-0.02,0.911,0.013
B66184,2022-2023,Public,0.89,0.0,0.84,-0.01,0.86,0.01,0.86,0.005
B66125,2022-2023,Public,0.85,0.0,0.8,0.0,0.83,-0.01,0.881,0.005
B67067,2022-2023,Roman Catholic,0.82,0.0,0.86,0.02,0.91,0.03,0.907,0.002
B28029,2022-2023,Public,0.77,0.0,0.64,-0.08,0.72,-0.02,0.702,-0.007
B28053,2022-2023,Public,0.7,0.0,0.61,-0.09,0.69,-0.06,0.713,0.004
B67199,2022-2023,Roman Catholic,0.84,0.0,0.81,0.07,0.76,-0.11,0.831,0.019
B66214,2022-2023,Public,0.83,0.0,0.78,-0.03,0.78,0.0,0.833,0.05
B66109,2022-2023,Public,0.84,0.0,0.73,-0.04,0.78,-0.02,0.796,-0.009
B67091,2022-2023,Roman Catholic,0.82,0.0,0.8,-0.03,0.83,-0.01,0.871,-0.018
B67040,2022-2023,Roman Catholic,0.88,0.0,0.79,-0.03,0.85,-0.01,0.843,0.013
B29033,2022-2023,Roman Catholic,0.8,0.0,0.73,-0.06,0.81,-0.06,0.787,-0.017
B29076,2022-2023,Roman Catholic,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B28070,2022-2023,Public,0.59,0.0,0.49,-0.14,0.58,-0.15,0.616,-0.021
B66044,2022-2023,Public,0.77,0.0,0.72,-0.02,0.75,-0.01,0.756,0.028
B29068,2022-2023,Roman Catholic,0.81,0.0,0.73,-0.09,0.85,0.01,0.777,-0.027
B67059,2022-2023,Roman Catholic,0.84,0.0,0.85,-0.01,0.87,-0.01,0.887,0.011
B66052,2022-2023,Public,0.85,0.0,0.78,0.01,0.81,0.01,0.814,0.012
B66087,2022-2023,Public,0.84,0.0,0.75,-0.02,0.78,-0.03,0.823,0.024
B66192,2022-2023,Public,0.77,0.0,0.72,-0.04,0.76,-0.02,0.836,0.021
B66117,2022-2023,Public,0.88,0.0,0.82,0.0,0.83,0.0,0.842,0.035
B67148,2022-2023,Roman Catholic,0.83,0.0,0.8,-0.01,0.83,0.0,0.825,-0.005
B66176,2022-2023,Public,0.85,0.0,0.82,0.0,0.81,0.0,0.801,0.036
B67130,2022-2023,Roman Catholic,0.85,0.0,0.84,0.11,0.86,0.02,0.907,0.024
B67024,2022-2023,Roman Catholic,0.91,0.0,0.81,-0.02,0.86,0.01,0.904,0.009
B67075,2022-2023,Roman Catholic,0.9,0.0,0.91,0.01,0.94,0.0,0.96,0.004
B66095,2022-2023,Public,0.93,0.0,0.87,0.0,0.9,0.0,0.909,0.001
